batsman,Chennai Super Kings,Deccan Chargers,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad,Total
DAJ Bracewell,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
T Thushara,0,8,0,0,1,0,0,1,0,2,0,0,0,0,12
AR Bawne,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12
AA Chavan,0,0,7,0,0,1,0,4,0,0,0,0,0,0,12
Karanveer Singh,2,0,0,0,0,0,1,0,0,5,0,0,4,0,12
T Henderson,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
T Kohli,3,0,7,0,0,0,1,0,0,0,0,0,0,0,11
M Ntini,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
DNT Zoysa,0,0,0,0,1,0,0,10,0,0,0,0,0,0,11
Rashid Khan,0,0,0,0,6,0,0,2,0,0,3,0,0,0,11
J Theron,0,0,0,0,7,0,0,1,0,2,0,0,0,0,10
D du Preez,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
TD Paine,0,0,0,0,0,0,0,2,0,0,0,0,8,0,10
AG Murtaza,0,0,0,0,0,0,3,0,0,2,0,0,5,0,10
SMSM Senanayake,7,0,0,0,1,0,0,0,2,0,0,0,0,0,10
KAJ Roach,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
X Thalaivan Sargunam,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
S Kaul,7,0,0,0,0,0,0,0,0,2,0,0,0,0,9
Washington Sundar,0,0,5,0,0,0,1,2,0,0,0,0,0,1,9
SM Harwood,6,3,0,0,0,0,0,0,0,0,0,0,0,0,9
AA Noffke,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
CK Langeveldt,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
Jaskaran Singh,0,0,0,0,3,0,4,1,0,0,0,0,0,0,8
CJ McKay,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
TM Srivastava,0,0,7,0,0,0,1,0,0,0,0,0,0,0,8
TS Mills,0,0,0,0,0,0,2,0,0,0,0,0,0,6,8
SN Thakur,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
VS Malik,0,0,0,0,1,0,0,6,0,0,0,0,0,0,7
UA Birla,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7
Pankaj Singh,0,4,1,0,1,0,0,1,0,0,0,0,0,0,7
AN Ghosh,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Ankit Soni,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
I Malhotra,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
AF Milne,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
BA Bhatt,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
DM Bravo,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
PSP Handscomb,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
J Yadav,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6
SB Joshi,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6
AS Rajpoot,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
SS Shaikh,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
P Awana,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5
SJ Srivastava,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5
Shivam Sharma,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5
KMDN Kulasekara,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
JD Unadkat,1,0,0,0,0,0,1,0,0,0,0,0,2,1,5
TA Boult,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
A Zampa,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
A Uniyal,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
GD McGrath,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
VRV Singh,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
BB Sran,0,0,1,0,0,0,2,0,0,0,0,1,0,0,4
RS Sodhi,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
DP Nannes,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4
FH Edwards,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4
A Chandila,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
B Laughlin,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
CRD Fernando,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4
JE Taylor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CJ Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
R Ninan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Mohammad Asif,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
D Kalyankrishna,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
S Tyagi,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
RD Chahar,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Younis Khan,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Kamran Khan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
BAW Mendis,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
A Singh,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
SB Wagh,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
H Das,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
KP Appanna,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
VS Yeligati,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Mashrafe Mortaza,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
RS Gavaskar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
S Randiv,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
RG More,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Mohammad Nabi,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Shoaib Akhtar,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Mohammad Ashraful,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
M de Lange,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DJ Muthuswami,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SE Bond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P Parameswaran,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DP Vijaykumar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LH Ferguson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NJ Rimmington,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
PM Sarvesh Kumar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Shoaib Ahmed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BE Hendricks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L Ablish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C Nanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YA Abdulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunny Gupta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V Pratap Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M Ashwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND Doshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC Pandey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdur Razzak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Ladda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U Kaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RR Bhatkal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
